icao24;callsign;origin_country;time_position;last_contact;longitude;latitude;baro_altitude;on_ground;velocity;true_track;vertical_rate;sensors;geo_altitude;squawk;spi;position_source
43c8e8;SYS63   ;United Kingdom;1677688110.0;1677688332;-2.6665;52.7836;7.62;False;2.77;111.8;-0.33;;198.12;;False;0
a7a1e8;JBU281  ;United States;1677688588.0;1677688588;-84.7877;35.1336;10363.2;False;185.94;240.31;-0.33;;10668.0;;False;0
a9f4c6;RPA3601 ;United States;1677688587.0;1677688588;-74.1116;40.9207;1120.14;False;92.19;142.94;-6.18;;1112.52;2530;False;0
acbeab;FDX6337 ;United States;1677688587.0;1677688588;6.5279;47.4363;7459.98;False;228.63;262.89;12.68;;7421.88;1000;False;0
345398;VLG242T ;Spain;1677688587.0;1677688588;6.5219;47.7273;11269.98;False;228.89;196.32;0.0;;11148.06;1106;False;0
ac287c;SWA557  ;United States;1677688588.0;1677688588;-97.1725;30.1403;3086.1;False;140.4;289.03;-4.88;;3200.4;;False;0
a2c64c;N278XL  ;United States;1677688588.0;1677688588;-96.8585;33.3531;1257.3;False;136.43;169.79;0.0;;1219.2;;False;0
ab8b56;DAL655  ;United States;1677688584.0;1677688584;-100.0396;42.7814;10668.0;False;273.77;106.6;0.0;;10378.44;;False;0
abf544;N87PB   ;United States;1677688587.0;1677688587;-101.3224;33.6066;3368.04;False;104.93;107.99;0.0;;3398.52;;False;0
43c8ca;VYT81   ;United Kingdom;1677688588.0;1677688588;-4.031;52.9607;2019.3;False;146.82;309.88;1.3;;2156.46;;False;0
43c8cb;VYT83   ;United Kingdom;1677688588.0;1677688588;-3.7354;53.4179;4564.38;False;107.8;94.11;0.33;;4701.54;1427;False;0
8007ce;IGO2213 ;India;1677688588.0;1677688588;77.1709;27.0077;8602.98;False;216.29;357.41;-4.88;;8923.02;;False;0
a213ec;N233CW  ;United States;1677688588.0;1677688588;-97.2953;34.593;2164.08;False;84.96;148.62;0.0;;2148.84;;False;0
a200ba;SWA733  ;United States;1677688587.0;1677688588;-98.3039;30.3591;10363.2;False;197.4;296.3;0.0;;10751.82;7207;False;0
acc5a5;AAL2939 ;United States;1677688588.0;1677688588;-97.5977;27.3143;7421.88;False;190.68;193.1;-9.1;;7810.5;;False;0
484369;KLM810  ;Kingdom of the Netherlands;1677688522.0;1677688523;101.0533;3.5924;5303.52;False;218.46;317.48;6.5;;5631.18;;False;0
a3965c;FFT772  ;United States;1677688587.0;1677688588;-115.2034;36.0771;1524.0;False;101.38;268.55;9.75;;1394.46;;False;0
a5b18a;SKW5371 ;United States;1677688586.0;1677688587;-94.6655;30.8473;7010.4;False;210.74;33.65;0.65;;7292.34;;False;0
4a068a;ROT627G ;Romania;1677688285.0;1677688286;23.7785;45.7569;5486.4;False;135.98;293.17;0.0;;5532.12;;False;0
4ca947;EIN33T  ;Ireland;1677688588.0;1677688588;-0.9472;53.1582;11285.22;False;203.42;98.58;0.0;;11269.98;4624;False;0
4a068c;ROT237N ;Romania;1677688587.0;1677688587;19.1513;47.4916;464.82;False;71.01;132.36;-3.58;;571.5;;False;0
a14380;SWA1658 ;United States;1677688587.0;1677688588;-77.8086;36.9607;10668.0;False;259.2;36.12;0.0;;10888.98;;False;0
a200c6;N228X   ;United States;1677688587.0;1677688587;-88.4645;41.6007;754.38;False;61.99;95.24;-1.63;;655.32;5104;False;0
43c8d1;VYT75   ;United Kingdom;1677688587.0;1677688588;-4.9623;53.1163;4221.48;False;89.26;321.08;6.83;;4358.64;3760;False;0
a25c75;AAY421  ;United States;1677688587.0;1677688588;-83.5157;30.957;10972.8;False;225.84;344.0;0.33;;11437.62;7717;False;0
a466d2;DAL1527 ;United States;1677688452.0;1677688487;-80.3039;26.6916;998.22;False;106.08;92.5;-5.53;;1074.42;;False;0
88809a;HVN977  ;Viet Nam;1677688587.0;1677688587;76.9826;28.5908;685.8;False;81.23;104.3;-4.23;;762.0;;False;0
a39668;N330GC  ;United States;1677688587.0;1677688587;-79.7254;27.2025;1729.74;False;138.7;306.4;-3.9;;1828.8;;False;0
89647c;UAE1CR  ;United Arab Emirates;1677688527.0;1677688563;111.7485;-31.1337;11887.2;False;287.73;114.73;2.28;;12451.08;;False;0
acbf63;AAL1223 ;United States;1677688588.0;1677688588;-77.39;38.8881;7010.4;False;196.83;208.57;0.0;;7078.98;2467;False;0
a9b9f5;N726BF  ;United States;1677688587.0;1677688588;-122.0246;37.3658;350.52;False;66.88;337.38;-4.23;;297.18;;False;0
a08512;UCA4266 ;United States;1677688587.0;1677688588;-96.7609;33.1737;10972.8;False;220.92;341.82;0.0;;11231.88;;False;0
4d02b7;JFA86L  ;Luxembourg;1677688588.0;1677688588;8.9551;43.2966;7620.0;False;130.67;90.0;0.0;;7505.7;1000;False;0
896497;ABY873  ;United Arab Emirates;1677688588.0;1677688588;79.328;27.7332;10363.2;False;205.0;289.34;0.0;;10683.24;;False;0
ad46cf;KSF8    ;United States;1677688587.0;1677688587;-81.3521;41.2525;1432.56;False;57.18;8.28;-0.33;;1318.26;1200;False;0
896496;ABY224  ;United Arab Emirates;1677688549.0;1677688553;55.6715;25.3371;800.1;False;136.4;121.11;-3.25;;861.06;;False;0
4ca875;EIWFI   ;Ireland;1677688587.0;1677688588;-6.1132;51.3573;10096.5;False;239.12;173.7;2.6;;10104.12;;False;0
aa70c6;N772DF  ;United States;1677688586.0;1677688586;-77.133;37.9098;2232.66;False;66.72;153.43;-0.33;;2240.28;;False;0
c074e2;CGSGV   ;Canada;1677688345.0;1677688345;-77.6563;39.5116;457.2;False;67.92;268.7;-2.6;;464.82;;False;0
a0983c;N1375C  ;United States;1677688427.0;1677688429;-81.8385;27.9524;304.8;False;56.6;101.0;-4.23;;358.14;;False;0
89648c;FDB590  ;United Arab Emirates;1677688588.0;1677688588;89.8754;22.4893;9037.32;False;209.93;277.04;8.13;;9464.04;4776;False;0
4ca891;RYR93DX ;Ireland;1677688587.0;1677688588;3.974;49.1996;8450.58;False;207.25;69.36;-5.2;;8359.14;5210;False;0
ac899f;EPI907  ;United States;1677688585.0;1677688585;-80.937;29.0649;15.24;False;35.23;241.19;-1.3;;30.48;;False;0
e0659a;LVFVZ   ;Argentina;1677688588.0;1677688588;-58.4876;-34.1014;3444.24;False;149.0;3.76;11.7;;3611.88;0535;False;0
484f7c;KLM83Z  ;Kingdom of the Netherlands;1677688588.0;1677688588;4.7262;51.0298;9464.04;False;207.9;147.02;4.23;;9380.22;1000;False;0
77058c;ALK471  ;Sri Lanka;1677688582.0;1677688586;120.5047;24.2572;11582.4;False;203.14;222.74;1.95;;12176.76;;False;0
484f7d;KLM45N  ;Kingdom of the Netherlands;1677688588.0;1677688588;18.726;54.4027;1440.18;False;139.69;112.98;-6.83;;1531.62;4551;False;0
77058e;ALK454  ;Sri Lanka;1677688588.0;1677688588;88.5321;22.2003;10668.0;False;282.7;43.89;0.0;;11193.78;7343;False;0
abece7;DAL697  ;United States;1677688588.0;1677688588;-90.3693;39.0954;9753.6;False;203.0;314.18;0.0;;9822.18;2425;False;0
ade629;N995KT  ;United States;1677688290.0;1677688580;-80.3891;32.5312;5143.5;False;103.96;38.57;0.0;;5356.86;;False;0
a09852;UAL234  ;United States;1677688587.0;1677688588;-94.2753;44.0565;11269.98;False;280.64;103.25;0.0;;11003.28;;False;0
484f7f;KLM59M  ;Kingdom of the Netherlands;1677688587.0;1677688588;3.4547;51.9794;6096.0;False;219.26;233.59;0.33;;6118.86;7347;False;0
4005b9;BAW17A  ;United Kingdom;1677688587.0;1677688588;-70.7026;42.6121;11887.2;False;234.87;211.57;0.0;;11734.8;;False;0
a7c975;N600YR  ;United States;1677688588.0;1677688588;-97.7143;30.663;3703.32;False;102.27;323.59;-0.65;;3802.38;;False;0
4d02c2;JFA76B  ;Luxembourg;1677688587.0;1677688588;10.7862;47.2495;6454.14;False;199.8;313.23;-7.8;;6454.14;1000;False;0
ac0cf8;DAL2532 ;United States;1677688588.0;1677688588;-122.5743;45.683;1752.6;False;116.41;296.79;-2.6;;1706.88;4077;False;0
a0851b;GTI3809 ;United States;1677688547.0;1677688547;-121.2405;37.9014;;True;0.64;210.94;;;;;False;0
