Departure;Arrival;OperatingCarrier;Equipment;Status
{'AirportCode': 'ABJ', 'Scheduled': {'Date': '2023-03-23', 'Time': '20:00'}, 'Actual': {'Date': '2023-03-23', 'Time': '20:13'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'OUA', 'Scheduled': {'Date': '2023-03-23', 'Time': '21:35'}, 'Actual': {'Date': '2023-03-23', 'Time': '21:48'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'SN', 'FlightNumber': '256'};{'AircraftCode': '333'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'ACC', 'Scheduled': {'Date': '2023-03-23', 'Time': '18:20'}, 'Actual': {'Date': '2023-03-23', 'Time': '19:37'}, 'Terminal': {'Name': '3'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'LFW', 'Scheduled': {'Date': '2023-03-23', 'Time': '19:10'}, 'Estimated': {'Date': '2023-03-23', 'Time': '20:04'}, 'Actual': {'Date': '2023-03-23', 'Time': '20:04'}, 'Status': {'Code': 'DL', 'Description': 'Flight Delayed'}};{'AirlineID': 'SN', 'FlightNumber': '277'};{'AircraftCode': '333'};{'Code': 'DL', 'Description': 'Flight Delayed'}
{'AirportCode': 'AGP', 'Scheduled': {'Date': '2023-03-23', 'Time': '17:10'}, 'Actual': {'Date': '2023-03-23', 'Time': '19:28'}, 'Terminal': {'Gate': 'D54'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'MUC', 'Scheduled': {'Date': '2023-03-23', 'Time': '20:05'}, 'Actual': {'Date': '2023-03-23', 'Time': '22:02'}, 'Terminal': {'Gate': 'G18'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'LH', 'FlightNumber': '1833'};{'AircraftCode': '32Q'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'AMM', 'Scheduled': {'Date': '2023-03-23', 'Time': '20:10'}, 'Actual': {'Date': '2023-03-23', 'Time': '20:00'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'AQJ', 'Scheduled': {'Date': '2023-03-23', 'Time': '21:05'}, 'Actual': {'Date': '2023-03-23', 'Time': '20:56'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'WK', 'FlightNumber': '160'};{'AircraftCode': '320'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'AMS', 'Scheduled': {'Date': '2023-03-23', 'Time': '19:25'}, 'Actual': {'Date': '2023-03-23', 'Time': '19:44'}, 'Terminal': {'Gate': 'B17'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'FRA', 'Scheduled': {'Date': '2023-03-23', 'Time': '20:30'}, 'Actual': {'Date': '2023-03-23', 'Time': '20:45'}, 'Terminal': {'Name': '1', 'Gate': 'Area A'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'CL', 'FlightNumber': '999'};{'AircraftCode': 'CR9'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'AMS', 'Scheduled': {'Date': '2023-03-23', 'Time': '19:30'}, 'Actual': {'Date': '2023-03-23', 'Time': '19:32'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'STR', 'Scheduled': {'Date': '2023-03-23', 'Time': '20:50'}, 'Actual': {'Date': '2023-03-23', 'Time': '20:36'}, 'Terminal': {'Name': '1'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'EW', 'FlightNumber': '2181'};{'AircraftCode': '31D'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'AMS', 'Scheduled': {'Date': '2023-03-23', 'Time': '19:50'}, 'Actual': {'Date': '2023-03-23', 'Time': '19:57'}, 'Terminal': {'Gate': 'B35'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'MUC', 'Scheduled': {'Date': '2023-03-23', 'Time': '21:10'}, 'Actual': {'Date': '2023-03-23', 'Time': '21:14'}, 'Terminal': {'Name': '2', 'Gate': 'G46'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'EN', 'FlightNumber': '2309'};{'AircraftCode': 'E95'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'AMS', 'Scheduled': {'Date': '2023-03-23', 'Time': '20:00'}, 'Actual': {'Date': '2023-03-23', 'Time': '20:18'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'ZRH', 'Scheduled': {'Date': '2023-03-23', 'Time': '21:30'}, 'Actual': {'Date': '2023-03-23', 'Time': '21:33'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'LX', 'FlightNumber': '735'};{'AircraftCode': '223'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'AMS', 'Scheduled': {'Date': '2023-03-23', 'Time': '20:00'}, 'Actual': {'Date': '2023-03-23', 'Time': '20:08'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'VIE', 'Scheduled': {'Date': '2023-03-23', 'Time': '21:50'}, 'Actual': {'Date': '2023-03-23', 'Time': '21:37'}, 'Terminal': {'Name': '3'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'OS', 'FlightNumber': '376'};{'AircraftCode': 'E95'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'AMS', 'Scheduled': {'Date': '2023-03-23', 'Time': '20:15'}, 'Actual': {'Date': '2023-03-23', 'Time': '20:14'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'HAM', 'Scheduled': {'Date': '2023-03-23', 'Time': '21:25'}, 'Actual': {'Date': '2023-03-23', 'Time': '21:07'}, 'Terminal': {'Name': '1'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'EW', 'FlightNumber': '7185'};{'AircraftCode': '31D'};{'Code': 'LD', 'Description': 'Flight Landed'}
