Departure;Arrival;OperatingCarrier;Equipment;Status
{'AirportCode': 'FRA', 'Scheduled': {'Date': '2023-03-23', 'Time': '14:15'}, 'Actual': {'Date': '2023-03-23', 'Time': '14:23'}, 'Terminal': {'Name': '1', 'Gate': 'A50'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'MUC', 'Scheduled': {'Date': '2023-03-23', 'Time': '15:10'}, 'Actual': {'Date': '2023-03-23', 'Time': '15:15'}, 'Terminal': {'Name': '2', 'Gate': 'G24'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'LH', 'FlightNumber': '108'};{'AircraftCode': '78S'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'FRA', 'Scheduled': {'Date': '2023-03-23', 'Time': '14:15'}, 'Actual': {'Date': '2023-03-23', 'Time': '14:41'}, 'Terminal': {'Name': '1', 'Gate': 'Z20'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'TSR', 'Scheduled': {'Date': '2023-03-23', 'Time': '17:00'}, 'Actual': {'Date': '2023-03-23', 'Time': '17:22'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'CL', 'FlightNumber': '1470'};{'AircraftCode': 'E90'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'FRA', 'Scheduled': {'Date': '2023-03-23', 'Time': '14:20'}, 'Actual': {'Date': '2023-03-23', 'Time': '14:15'}, 'Terminal': {'Name': '1', 'Gate': 'Z54'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'IKA', 'Scheduled': {'Date': '2023-03-23', 'Time': '22:00'}, 'Actual': {'Date': '2023-03-23', 'Time': '21:41'}, 'Terminal': {'Gate': '011'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'LH', 'FlightNumber': '600'};{'AircraftCode': '343'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'FRA', 'Scheduled': {'Date': '2023-03-23', 'Time': '14:20'}, 'Actual': {'Date': '2023-03-23', 'Time': '14:30'}, 'Terminal': {'Name': '1', 'Gate': 'Z15'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'SOF', 'Scheduled': {'Date': '2023-03-23', 'Time': '17:30'}, 'Actual': {'Date': '2023-03-23', 'Time': '17:29'}, 'Terminal': {'Name': '2'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'LH', 'FlightNumber': '1430'};{'AircraftCode': '32N'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'FRA', 'Scheduled': {'Date': '2023-03-23', 'Time': '14:21'}, 'Actual': {'Date': '2023-03-23', 'Time': '15:01'}, 'Terminal': {'Name': 'Station', 'Gate': 'T07'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'QDU', 'Scheduled': {'Date': '2023-03-23', 'Time': '15:36'}, 'Actual': {'Date': '2023-03-23', 'Time': '16:19'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': '2A', 'FlightNumber': '3514'};{'AircraftCode': 'TRN'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'FRA', 'Scheduled': {'Date': '2023-03-23', 'Time': '14:34'}, 'Actual': {'Date': '2023-03-23', 'Time': '14:34'}, 'Terminal': {'Name': 'Station', 'Gate': 'T04'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'QWU', 'Scheduled': {'Date': '2023-03-23', 'Time': '16:01'}, 'Actual': {'Date': '2023-03-23', 'Time': '15:59'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': '2A', 'FlightNumber': '3472'};{'AircraftCode': 'TRN'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'FRA', 'Scheduled': {'Date': '2023-03-23', 'Time': '14:42'}, 'Actual': {'Date': '2023-03-23', 'Time': '14:53'}, 'Terminal': {'Name': 'Station', 'Gate': 'T07'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'QKL', 'Scheduled': {'Date': '2023-03-23', 'Time': '15:33'}, 'Actual': {'Date': '2023-03-23', 'Time': '15:57'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': '2A', 'FlightNumber': '3538'};{'AircraftCode': 'TRN'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'FRA', 'Scheduled': {'Date': '2023-03-23', 'Time': '14:45'}, 'Actual': {'Date': '2023-03-23', 'Time': '14:55'}, 'Terminal': {'Name': '1', 'Gate': 'B32'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'BEY', 'Scheduled': {'Date': '2023-03-23', 'Time': '19:40'}, 'Actual': {'Date': '2023-03-23', 'Time': '19:44'}, 'Terminal': {'Gate': '015'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'LH', 'FlightNumber': '1306'};{'AircraftCode': '32M'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'FRA', 'Scheduled': {'Date': '2023-03-23', 'Time': '14:45'}, 'Actual': {'Date': '2023-03-23', 'Time': '14:43'}, 'Terminal': {'Name': '1', 'Gate': 'A22'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'ZRH', 'Scheduled': {'Date': '2023-03-23', 'Time': '15:40'}, 'Actual': {'Date': '2023-03-23', 'Time': '15:33'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': '2L', 'FlightNumber': '1073'};{'AircraftCode': '290'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'FRA', 'Scheduled': {'Date': '2023-03-23', 'Time': '14:51'}, 'Actual': {'Date': '2023-03-23', 'Time': '15:34'}, 'Terminal': {'Name': 'Station', 'Gate': 'T05'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'ZWS', 'Scheduled': {'Date': '2023-03-23', 'Time': '16:18'}, 'Actual': {'Date': '2023-03-23', 'Time': '17:00'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': '2A', 'FlightNumber': '3416'};{'AircraftCode': 'TRN'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'FRA', 'Scheduled': {'Date': '2023-03-23', 'Time': '15:00'}, 'Actual': {'Date': '2023-03-23', 'Time': '15:04'}, 'Terminal': {'Name': '1', 'Gate': 'B27'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'LHR', 'Scheduled': {'Date': '2023-03-23', 'Time': '15:45'}, 'Actual': {'Date': '2023-03-23', 'Time': '15:35'}, 'Terminal': {'Name': '2'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'LH', 'FlightNumber': '910'};{'AircraftCode': '32N'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'FRA', 'Scheduled': {'Date': '2023-03-23', 'Time': '15:05'}, 'Actual': {'Date': '2023-03-23', 'Time': '15:15'}, 'Terminal': {'Name': '1', 'Gate': 'A52'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'VLC', 'Scheduled': {'Date': '2023-03-23', 'Time': '17:20'}, 'Actual': {'Date': '2023-03-23', 'Time': '17:31'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'LH', 'FlightNumber': '1464'};{'AircraftCode': '321'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'FRA', 'Scheduled': {'Date': '2023-03-23', 'Time': '15:10'}, 'Actual': {'Date': '2023-03-23', 'Time': '15:45'}, 'Terminal': {'Name': '1', 'Gate': 'B41'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'AMM', 'Scheduled': {'Date': '2023-03-23', 'Time': '21:20'}, 'Actual': {'Date': '2023-03-23', 'Time': '21:47'}, 'Terminal': {'Gate': '130'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'LH', 'FlightNumber': '692'};{'AircraftCode': '32Q'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'FRA', 'Scheduled': {'Date': '2023-03-23', 'Time': '15:11'}, 'Actual': {'Date': '2023-03-23', 'Time': '15:33'}, 'Terminal': {'Name': 'Station', 'Gate': 'T06'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'QKL', 'Scheduled': {'Date': '2023-03-23', 'Time': '16:05'}, 'Actual': {'Date': '2023-03-23', 'Time': '16:25'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': '2A', 'FlightNumber': '3618'};{'AircraftCode': 'TRN'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'FRA', 'Scheduled': {'Date': '2023-03-23', 'Time': '15:11'}, 'Actual': {'Date': '2023-03-23', 'Time': '15:33'}, 'Terminal': {'Name': 'Station', 'Gate': 'T06'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'MKF', 'Scheduled': {'Date': '2023-03-23', 'Time': '17:55'}, 'Actual': {'Date': '2023-03-23', 'Time': '18:43'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': '2A', 'FlightNumber': '3656'};{'AircraftCode': 'TRN'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'FRA', 'Scheduled': {'Date': '2023-03-23', 'Time': '15:15'}, 'Actual': {'Date': '2023-03-23', 'Time': '15:20'}, 'Terminal': {'Name': '1', 'Gate': 'A11'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'MUC', 'Scheduled': {'Date': '2023-03-23', 'Time': '16:10'}, 'Actual': {'Date': '2023-03-23', 'Time': '16:09'}, 'Terminal': {'Name': '2', 'Gate': 'G34'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'LH', 'FlightNumber': '110'};{'AircraftCode': '32A'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'FRA', 'Scheduled': {'Date': '2023-03-23', 'Time': '15:21'}, 'Actual': {'Date': '2023-03-23', 'Time': '15:37'}, 'Terminal': {'Name': 'Station', 'Gate': 'T07'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'QDU', 'Scheduled': {'Date': '2023-03-23', 'Time': '16:39'}, 'Actual': {'Date': '2023-03-23', 'Time': '16:53'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': '2A', 'FlightNumber': '3516'};{'AircraftCode': 'TRN'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'FRA', 'Scheduled': {'Date': '2023-03-23', 'Time': '15:25'}, 'Actual': {'Date': '2023-03-23', 'Time': '16:03'}, 'Terminal': {'Name': '1', 'Gate': 'A26'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'PMI', 'Scheduled': {'Date': '2023-03-23', 'Time': '17:25'}, 'Actual': {'Date': '2023-03-23', 'Time': '18:02'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'LH', 'FlightNumber': '1152'};{'AircraftCode': '321'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'FRA', 'Scheduled': {'Date': '2023-03-23', 'Time': '15:30'}, 'Actual': {'Date': '2023-03-23', 'Time': '15:27'}, 'Terminal': {'Name': '1', 'Gate': 'A58'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'LIN', 'Scheduled': {'Date': '2023-03-23', 'Time': '16:40'}, 'Actual': {'Date': '2023-03-23', 'Time': '16:41'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'LH', 'FlightNumber': '274'};{'AircraftCode': '319'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'FRA', 'Scheduled': {'Date': '2023-03-23', 'Time': '15:34'}, 'Actual': {'Date': '2023-03-23', 'Time': '15:39'}, 'Terminal': {'Name': 'Station', 'Gate': 'T04'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'QWU', 'Scheduled': {'Date': '2023-03-23', 'Time': '17:01'}, 'Actual': {'Date': '2023-03-23', 'Time': '17:06'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': '2A', 'FlightNumber': '3474'};{'AircraftCode': 'TRN'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'FRA', 'Scheduled': {'Date': '2023-03-23', 'Time': '15:35'}, 'Actual': {'Date': '2023-03-23', 'Time': '15:39'}, 'Terminal': {'Name': '1', 'Gate': 'A25'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'OSL', 'Scheduled': {'Date': '2023-03-23', 'Time': '17:35'}, 'Actual': {'Date': '2023-03-23', 'Time': '17:33'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'LH', 'FlightNumber': '858'};{'AircraftCode': '32N'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'FRA', 'Scheduled': {'Date': '2023-03-23', 'Time': '15:40'}, 'Actual': {'Date': '2023-03-23', 'Time': '16:02'}, 'Terminal': {'Name': '1', 'Gate': 'A64'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'BCN', 'Scheduled': {'Date': '2023-03-23', 'Time': '17:40'}, 'Actual': {'Date': '2023-03-23', 'Time': '17:57'}, 'Terminal': {'Name': '1'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'LH', 'FlightNumber': '1132'};{'AircraftCode': '32M'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'FRA', 'Scheduled': {'Date': '2023-03-23', 'Time': '15:45'}, 'Actual': {'Date': '2023-03-23', 'Time': '16:06'}, 'Terminal': {'Name': '1', 'Gate': 'A15'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'BER', 'Scheduled': {'Date': '2023-03-23', 'Time': '16:55'}, 'Actual': {'Date': '2023-03-23', 'Time': '17:07'}, 'Terminal': {'Name': '1', 'Gate': 'A02'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': '4Y', 'FlightNumber': '190'};{'AircraftCode': '32A'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'FRA', 'Scheduled': {'Date': '2023-03-23', 'Time': '15:45'}, 'Actual': {'Date': '2023-03-23', 'Time': '15:47'}, 'Terminal': {'Name': '1', 'Gate': 'B30'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'BRS', 'Scheduled': {'Date': '2023-03-23', 'Time': '16:25'}, 'Actual': {'Date': '2023-03-23', 'Time': '16:32'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'CL', 'FlightNumber': '972'};{'AircraftCode': 'E90'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'FRA', 'Scheduled': {'Date': '2023-03-23', 'Time': '15:50'}, 'Actual': {'Date': '2023-03-23', 'Time': '16:12'}, 'Terminal': {'Name': '1', 'Gate': 'B33'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'DUB', 'Scheduled': {'Date': '2023-03-23', 'Time': '16:55'}, 'Actual': {'Date': '2023-03-23', 'Time': '17:15'}, 'Terminal': {'Name': '1'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'LH', 'FlightNumber': '980'};{'AircraftCode': '319'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'FRA', 'Scheduled': {'Date': '2023-03-23', 'Time': '15:50'}, 'Actual': {'Date': '2023-03-23', 'Time': '16:23'}, 'Terminal': {'Name': '1', 'Gate': 'A03'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'NTE', 'Scheduled': {'Date': '2023-03-23', 'Time': '17:30'}, 'Actual': {'Date': '2023-03-23', 'Time': '17:59'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'CL', 'FlightNumber': '1056'};{'AircraftCode': 'CR9'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'FRA', 'Scheduled': {'Date': '2023-03-23', 'Time': '15:50'}, 'Actual': {'Date': '2023-03-23', 'Time': '15:52'}, 'Terminal': {'Name': '1', 'Gate': 'A01'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'BUD', 'Scheduled': {'Date': '2023-03-23', 'Time': '17:20'}, 'Actual': {'Date': '2023-03-23', 'Time': '17:18'}, 'Terminal': {'Name': '2A'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'LH', 'FlightNumber': '1344'};{'AircraftCode': '320'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'FRA', 'Scheduled': {'Date': '2023-03-23', 'Time': '16:00'}, 'Actual': {'Date': '2023-03-23', 'Time': '15:58'}, 'Terminal': {'Name': '1', 'Gate': 'A14'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'HAM', 'Scheduled': {'Date': '2023-03-23', 'Time': '17:05'}, 'Actual': {'Date': '2023-03-23', 'Time': '16:59'}, 'Terminal': {'Name': '2'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'LH', 'FlightNumber': '022'};{'AircraftCode': '319'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'FRA', 'Scheduled': {'Date': '2023-03-23', 'Time': '16:00'}, 'Actual': {'Date': '2023-03-23', 'Time': '16:08'}, 'Terminal': {'Name': '1', 'Gate': 'B20'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'LHR', 'Scheduled': {'Date': '2023-03-23', 'Time': '16:45'}, 'Actual': {'Date': '2023-03-23', 'Time': '16:41'}, 'Terminal': {'Name': '2'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'LH', 'FlightNumber': '914'};{'AircraftCode': '32N'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'FRA', 'Scheduled': {'Date': '2023-03-23', 'Time': '16:09'}, 'Actual': {'Date': '2023-03-23', 'Time': '16:11'}, 'Terminal': {'Name': 'Station', 'Gate': 'T04'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'KWQ', 'Scheduled': {'Date': '2023-03-23', 'Time': '17:47'}, 'Actual': {'Date': '2023-03-23', 'Time': '17:48'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': '2A', 'FlightNumber': '3696'};{'AircraftCode': 'TRN'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'FRA', 'Scheduled': {'Date': '2023-03-23', 'Time': '16:10'}, 'Actual': {'Date': '2023-03-23', 'Time': '16:17'}, 'Terminal': {'Name': '1', 'Gate': 'A28'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'FCO', 'Scheduled': {'Date': '2023-03-23', 'Time': '17:55'}, 'Actual': {'Date': '2023-03-23', 'Time': '18:01'}, 'Terminal': {'Name': '1'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'EW', 'FlightNumber': '238'};{'AircraftCode': '31D'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'FRA', 'Scheduled': {'Date': '2023-03-23', 'Time': '16:15'}, 'Actual': {'Date': '2023-03-23', 'Time': '16:40'}, 'Terminal': {'Name': '1', 'Gate': 'A52'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'MUC', 'Scheduled': {'Date': '2023-03-23', 'Time': '17:10'}, 'Actual': {'Date': '2023-03-23', 'Time': '17:34'}, 'Terminal': {'Name': '2', 'Gate': 'G34'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'LH', 'FlightNumber': '112'};{'AircraftCode': '32A'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'FRA', 'Scheduled': {'Date': '2023-03-23', 'Time': '16:15'}, 'Actual': {'Date': '2023-03-23', 'Time': '16:18'}, 'Terminal': {'Name': '1', 'Gate': 'A16'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'ARN', 'Scheduled': {'Date': '2023-03-23', 'Time': '18:20'}, 'Actual': {'Date': '2023-03-23', 'Time': '18:15'}, 'Terminal': {'Name': '5'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'LH', 'FlightNumber': '804'};{'AircraftCode': '32N'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'FRA', 'Scheduled': {'Date': '2023-03-23', 'Time': '16:20'}, 'Actual': {'Date': '2023-03-23', 'Time': '16:20'}, 'Terminal': {'Name': '1', 'Gate': 'A04'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'GVA', 'Scheduled': {'Date': '2023-03-23', 'Time': '17:25'}, 'Actual': {'Date': '2023-03-23', 'Time': '17:23'}, 'Terminal': {'Name': '1'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'CL', 'FlightNumber': '1222'};{'AircraftCode': 'CR9'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'FRA', 'Scheduled': {'Date': '2023-03-23', 'Time': '16:21'}, 'Actual': {'Date': '2023-03-23', 'Time': '16:24'}, 'Terminal': {'Name': 'Station', 'Gate': 'T07'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'QDU', 'Scheduled': {'Date': '2023-03-23', 'Time': '17:46'}, 'Actual': {'Date': '2023-03-23', 'Time': '17:58'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': '2A', 'FlightNumber': '3518'};{'AircraftCode': 'TRN'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'FRA', 'Scheduled': {'Date': '2023-03-23', 'Time': '16:25'}, 'Actual': {'Date': '2023-03-23', 'Time': '16:26'}, 'Terminal': {'Name': '1', 'Gate': 'A19'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'BRU', 'Scheduled': {'Date': '2023-03-23', 'Time': '17:25'}, 'Actual': {'Date': '2023-03-23', 'Time': '17:22'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'CL', 'FlightNumber': '1016'};{'AircraftCode': 'CR9'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'FRA', 'Scheduled': {'Date': '2023-03-23', 'Time': '16:25'}, 'Actual': {'Date': '2023-03-23', 'Time': '16:24'}, 'Terminal': {'Name': '1', 'Gate': 'A30'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'ZRH', 'Scheduled': {'Date': '2023-03-23', 'Time': '17:15'}, 'Actual': {'Date': '2023-03-23', 'Time': '17:11'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'CL', 'FlightNumber': '1196'};{'AircraftCode': 'E90'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'FRA', 'Scheduled': {'Date': '2023-03-23', 'Time': '16:25'}, 'Actual': {'Date': '2023-03-23', 'Time': '16:37'}, 'Terminal': {'Name': '1', 'Gate': 'A02'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'KRK', 'Scheduled': {'Date': '2023-03-23', 'Time': '17:55'}, 'Actual': {'Date': '2023-03-23', 'Time': '17:54'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'CL', 'FlightNumber': '1368'};{'AircraftCode': 'CR9'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'FRA', 'Scheduled': {'Date': '2023-03-23', 'Time': '16:34'}, 'Actual': {'Date': '2023-03-23', 'Time': '16:34'}, 'Terminal': {'Name': 'Station', 'Gate': 'T04'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'QWU', 'Scheduled': {'Date': '2023-03-23', 'Time': '18:01'}, 'Actual': {'Date': '2023-03-23', 'Time': '18:03'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': '2A', 'FlightNumber': '3476'};{'AircraftCode': 'TRN'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'FUE', 'Scheduled': {'Date': '2023-03-23', 'Time': '14:05'}, 'Actual': {'Date': '2023-03-23', 'Time': '14:30'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'ZRH', 'Scheduled': {'Date': '2023-03-23', 'Time': '19:10'}, 'Actual': {'Date': '2023-03-23', 'Time': '19:24'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'WK', 'FlightNumber': '213'};{'AircraftCode': '320'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'FUE', 'Scheduled': {'Date': '2023-03-23', 'Time': '16:05'}, 'Actual': {'Date': '2023-03-23', 'Time': '17:38'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'HAM', 'Scheduled': {'Date': '2023-03-23', 'Time': '22:00'}, 'Actual': {'Date': '2023-03-23', 'Time': '23:08'}, 'Terminal': {'Name': '1'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'EW', 'FlightNumber': '7527'};{'AircraftCode': '32N'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'GDN', 'Scheduled': {'Date': '2023-03-23', 'Time': '14:20'}, 'Actual': {'Date': '2023-03-23', 'Time': '14:36'}, 'Terminal': {'Gate': '015'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'FRA', 'Scheduled': {'Date': '2023-03-23', 'Time': '16:00'}, 'Actual': {'Date': '2023-03-23', 'Time': '16:13'}, 'Terminal': {'Name': '1', 'Gate': 'BSO'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'CL', 'FlightNumber': '1377'};{'AircraftCode': 'CR9'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'GGZ', 'Scheduled': {'Date': '2023-03-23', 'Time': '15:25'}, 'Actual': {'Date': '2023-03-23', 'Time': '15:25'}, 'Status': {'Code': 'OT', 'Description': 'Flight On Time'}};{'AirportCode': 'VIE', 'Scheduled': {'Date': '2023-03-23', 'Time': '18:27'}, 'Actual': {'Date': '2023-03-23', 'Time': '18:27'}, 'Terminal': {'Name': '3'}, 'Status': {'Code': 'OT', 'Description': 'Flight On Time'}};{'AirlineID': 'OS', 'FlightNumber': '3586'};{'AircraftCode': 'TRN'};{'Code': 'OT', 'Description': 'Flight On Time'}
