Departure;Arrival;OperatingCarrier;Equipment;Status
{'AirportCode': 'ACE', 'Scheduled': {'Date': '2023-03-23', 'Time': '13:15'}, 'Actual': {'Date': '2023-03-23', 'Time': '14:00'}, 'Terminal': {'Name': '1'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'ZRH', 'Scheduled': {'Date': '2023-03-23', 'Time': '18:30'}, 'Actual': {'Date': '2023-03-23', 'Time': '19:09'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'WK', 'FlightNumber': '229'};{'AircraftCode': '320'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'AGP', 'Scheduled': {'Date': '2023-03-23', 'Time': '11:20'}, 'Actual': {'Date': '2023-03-23', 'Time': '11:39'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'PRG', 'Scheduled': {'Date': '2023-03-23', 'Time': '14:40'}, 'Actual': {'Date': '2023-03-23', 'Time': '14:33'}, 'Terminal': {'Name': '2'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'E6', 'FlightNumber': '4225'};{'AircraftCode': '32A'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'AGP', 'Scheduled': {'Date': '2023-03-23', 'Time': '13:40'}, 'Actual': {'Date': '2023-03-23', 'Time': '14:20'}, 'Terminal': {'Gate': 'D52'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'ZRH', 'Scheduled': {'Date': '2023-03-23', 'Time': '16:20'}, 'Actual': {'Date': '2023-03-23', 'Time': '16:47'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'LX', 'FlightNumber': '2111'};{'AircraftCode': '223'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'AGP', 'Scheduled': {'Date': '2023-03-23', 'Time': '13:40'}, 'Actual': {'Date': '2023-03-23', 'Time': '13:57'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'VIE', 'Scheduled': {'Date': '2023-03-23', 'Time': '16:50'}, 'Actual': {'Date': '2023-03-23', 'Time': '16:54'}, 'Terminal': {'Name': '3'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'OS', 'FlightNumber': '386'};{'AircraftCode': '320'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'ALC', 'Scheduled': {'Date': '2023-03-23', 'Time': '13:40'}, 'Actual': {'Date': '2023-03-23', 'Time': '14:02'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'ZRH', 'Scheduled': {'Date': '2023-03-23', 'Time': '15:55'}, 'Actual': {'Date': '2023-03-23', 'Time': '16:09'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'WK', 'FlightNumber': '2175'};{'AircraftCode': '320'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'ALG', 'Scheduled': {'Date': '2023-03-23', 'Time': '13:05'}, 'Actual': {'Date': '2023-03-23', 'Time': '13:13'}, 'Terminal': {'Name': 'I', 'Gate': '007'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'FRA', 'Scheduled': {'Date': '2023-03-23', 'Time': '15:40'}, 'Actual': {'Date': '2023-03-23', 'Time': '15:47'}, 'Terminal': {'Name': '1', 'Gate': 'B27A'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'LH', 'FlightNumber': '1317'};{'AircraftCode': '32N'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'AMS', 'Scheduled': {'Date': '2023-03-23', 'Time': '09:50'}, 'Actual': {'Date': '2023-03-23', 'Time': '10:17'}, 'Terminal': {'Gate': 'B23'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'ZRH', 'Scheduled': {'Date': '2023-03-23', 'Time': '11:15'}, 'Actual': {'Date': '2023-03-23', 'Time': '11:29'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'WK', 'FlightNumber': '725'};{'AircraftCode': '320'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'AMS', 'Scheduled': {'Date': '2023-03-23', 'Time': '10:00'}, 'Actual': {'Date': '2023-03-23', 'Time': '10:07'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'VIE', 'Scheduled': {'Date': '2023-03-23', 'Time': '11:50'}, 'Actual': {'Date': '2023-03-23', 'Time': '11:38'}, 'Terminal': {'Name': '3'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'OS', 'FlightNumber': '372'};{'AircraftCode': '320'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'AMS', 'Scheduled': {'Date': '2023-03-23', 'Time': '11:00'}, 'Actual': {'Date': '2023-03-23', 'Time': '11:10'}, 'Terminal': {'Gate': 'B23'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'MUC', 'Scheduled': {'Date': '2023-03-23', 'Time': '12:20'}, 'Actual': {'Date': '2023-03-23', 'Time': '12:33'}, 'Terminal': {'Name': '2', 'Gate': 'G82'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'CL', 'FlightNumber': '2303'};{'AircraftCode': 'CR9'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'ARN', 'Scheduled': {'Date': '2023-03-23', 'Time': '12:20'}, 'Actual': {'Date': '2023-03-23', 'Time': '12:15'}, 'Terminal': {'Name': '5'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'MUC', 'Scheduled': {'Date': '2023-03-23', 'Time': '14:30'}, 'Actual': {'Date': '2023-03-23', 'Time': '14:22'}, 'Terminal': {'Name': '2', 'Gate': 'G44'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'LH', 'FlightNumber': '2415'};{'AircraftCode': '32V'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'ARN', 'Scheduled': {'Date': '2023-03-23', 'Time': '13:30'}, 'Actual': {'Date': '2023-03-23', 'Time': '13:38'}, 'Terminal': {'Name': '5'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'ZRH', 'Scheduled': {'Date': '2023-03-23', 'Time': '16:00'}, 'Actual': {'Date': '2023-03-23', 'Time': '16:06'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'LX', 'FlightNumber': '1249'};{'AircraftCode': '223'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'ARN', 'Scheduled': {'Date': '2023-03-23', 'Time': '13:55'}, 'Actual': {'Date': '2023-03-23', 'Time': '14:05'}, 'Terminal': {'Name': '5'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'FRA', 'Scheduled': {'Date': '2023-03-23', 'Time': '16:05'}, 'Actual': {'Date': '2023-03-23', 'Time': '16:10'}, 'Terminal': {'Name': '1', 'Gate': 'Area A'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'LH', 'FlightNumber': '803'};{'AircraftCode': '320'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'ATH', 'Scheduled': {'Date': '2023-03-23', 'Time': '12:35'}, 'Actual': {'Date': '2023-03-23', 'Time': '12:34'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'GVA', 'Scheduled': {'Date': '2023-03-23', 'Time': '14:30'}, 'Actual': {'Date': '2023-03-23', 'Time': '14:22'}, 'Terminal': {'Name': '1'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'LX', 'FlightNumber': '1823'};{'AircraftCode': '223'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'ATH', 'Scheduled': {'Date': '2023-03-23', 'Time': '12:55'}, 'Actual': {'Date': '2023-03-23', 'Time': '18:50'}, 'Terminal': {'Gate': 'B13'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'MUC', 'Scheduled': {'Date': '2023-03-23', 'Time': '14:30'}, 'Actual': {'Date': '2023-03-23', 'Time': '20:20'}, 'Terminal': {'Gate': 'K11'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'LH', 'FlightNumber': '1753'};{'AircraftCode': '32Q'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'ATH', 'Scheduled': {'Date': '2023-03-23', 'Time': '13:25'}, 'Actual': {'Date': '2023-03-23', 'Time': '13:39'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'VIE', 'Scheduled': {'Date': '2023-03-23', 'Time': '14:45'}, 'Actual': {'Date': '2023-03-23', 'Time': '14:55'}, 'Terminal': {'Name': '3'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'OS', 'FlightNumber': '802'};{'AircraftCode': '320'};{'Code': 'LD', 'Description': 'Flight Landed'}
