AirportCode;CityCode;CountryCode;LocationType;UtcOffset;TimeZoneId;Position.Coordinate.Latitude;Position.Coordinate.Longitude;Names.Name.@LanguageCode;Names.Name.$
IRR;ROM;IT;Rail Station;+01:00;Europe/Rome;41.8722;12.4847;EN;Rome Ostiense Rail Stn
IRS;IRS;US;Airport;-05:00;America/New_York;41.8;-85.4167;EN;Sturgis Kirsch Municipal
IRT;ROM;IT;Rail Station;+01:00;Europe/Rome;41.9106;12.5306;EN;Rome Tiburtina Rail Stn
IRU;IRU;LK;Airport;+05:30;Asia/Colombo;9.3392;80.4506;EN;Iranamadu Spb
IRZ;IRZ;BR;Airport;-04:00;America/Porto_Velho;-0.3786;-64.9922;EN;Santa Isabel Rio Negro
ISA;ISA;AU;Airport;+10:00;Australia/Brisbane;-20.6639;139.4886;EN;Mount Isa
ISB;ISB;PK;Airport;+05:00;Asia/Karachi;33.5483;72.825;EN;Islamabad International
ISC;ISC;GB;Airport;+00:00;Europe/London;49.9133;-6.2917;EN;Isles Of Scilly St Mary's Apt
ISD;ISD;CO;Airport;-05:00;America/Bogota;2.4417;-77.9667;EN;Iscuande
ISE;ISE;TR;Airport;+03:00;Europe/Istanbul;37.8556;30.3683;EN;Isparta Suleyman Demirel
ISG;ISG;JP;Airport;+09:00;Asia/Tokyo;24.3964;124.245;EN;Ishigaki
ISH;ISH;IT;Harbour;+01:00;Europe/Rome;40.7444;13.9408;EN;Ischia Harbour
ISI;ISI;AU;Airport;+10:00;Australia/Brisbane;-24.2;144.4167;EN;Isisford
ISJ;ISJ;MX;Airport;-05:00;America/Hermosillo;21.2667;-86.75;EN;Isla Mujeres
ISK;ISK;IN;Airport;+05:30;Asia/Kolkata;19.9642;73.8075;EN;Nasik Gandhinagar
ISL;IST;TR;Airport;+03:00;Europe/Istanbul;40.9769;28.815;EN;Istanbul
ISM;ORL;US;Airport;-05:00;America/New_York;28.2906;-81.4378;EN;Orlando Kissimmee Gateway
ISN;ISN;US;Airport;-06:00;America/Chicago;48.1792;-103.6433;EN;Williston
ISO;ISO;US;Airport;-05:00;America/New_York;35.3333;-77.6167;EN;Kinston Regional Jetport
ISP;ISP;US;Airport;-05:00;America/New_York;40.7953;-73.1003;EN;Long Island Macarthur
ISQ;ISQ;US;Airport;-05:00;America/New_York;45.9667;-86.1667;EN;Manistique Schoolcraft
