Departure;Arrival;OperatingCarrier;Equipment;Status
{'AirportCode': 'ACC', 'Scheduled': {'Date': '2023-03-23', 'Time': '22:55'}, 'Actual': {'Date': '2023-03-23', 'Time': '22:51'}, 'Terminal': {'Name': '3'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'BRU', 'Scheduled': {'Date': '2023-03-24', 'Time': '06:35'}, 'Actual': {'Date': '2023-03-24', 'Time': '06:17'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'SN', 'FlightNumber': '278'};{'AircraftCode': '333'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'BAH', 'Scheduled': {'Date': '2023-03-23', 'Time': '23:40'}, 'Actual': {'Date': '2023-03-23', 'Time': '23:36'}, 'Terminal': {'Gate': '13A'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'RUH', 'Scheduled': {'Date': '2023-03-24', 'Time': '01:00'}, 'Actual': {'Date': '2023-03-24', 'Time': '00:51'}, 'Terminal': {'Name': '1'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'LH', 'FlightNumber': '637'};{'AircraftCode': '333'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'BCN', 'Scheduled': {'Date': '2023-03-23', 'Time': '21:15'}, 'Actual': {'Date': '2023-03-23', 'Time': '22:24'}, 'Terminal': {'Name': '1'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'BRU', 'Scheduled': {'Date': '2023-03-23', 'Time': '23:25'}, 'Actual': {'Date': '2023-03-24', 'Time': '00:07'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'SN', 'FlightNumber': '3706'};{'AircraftCode': '320'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'BKK', 'Scheduled': {'Date': '2023-03-23', 'Time': '23:30'}, 'Actual': {'Date': '2023-03-24', 'Time': '00:01'}, 'Terminal': {'Gate': 'C07'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'MUC', 'Scheduled': {'Date': '2023-03-24', 'Time': '05:40'}, 'Actual': {'Date': '2023-03-24', 'Time': '06:09'}, 'Terminal': {'Name': '2', 'Gate': 'I18'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'LH', 'FlightNumber': '773'};{'AircraftCode': '359'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'BOM', 'Scheduled': {'Date': '2023-03-24', 'Time': '01:35'}, 'Actual': {'Date': '2023-03-24', 'Time': '01:41'}, 'Terminal': {'Name': '2', 'Gate': '078'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'MUC', 'Scheduled': {'Date': '2023-03-24', 'Time': '05:40'}, 'Actual': {'Date': '2023-03-24', 'Time': '05:42'}, 'Terminal': {'Name': '2', 'Gate': 'M28'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'LH', 'FlightNumber': '767'};{'AircraftCode': '35S'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'BOS', 'Scheduled': {'Date': '2023-03-23', 'Time': '22:55'}, 'Actual': {'Date': '2023-03-23', 'Time': '23:02'}, 'Terminal': {'Name': 'E', 'Gate': 'E10'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'ZRH', 'Scheduled': {'Date': '2023-03-24', 'Time': '11:10'}, 'Actual': {'Date': '2023-03-24', 'Time': '11:14'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'LX', 'FlightNumber': '053'};{'AircraftCode': '333'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'CAI', 'Scheduled': {'Date': '2023-03-24', 'Time': '02:05'}, 'Actual': {'Date': '2023-03-24', 'Time': '01:57'}, 'Terminal': {'Name': '3', 'Gate': 'F07'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'FRA', 'Scheduled': {'Date': '2023-03-24', 'Time': '05:40'}, 'Actual': {'Date': '2023-03-24', 'Time': '05:36'}, 'Terminal': {'Name': '1', 'Gate': 'Area A'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'LH', 'FlightNumber': '581'};{'AircraftCode': '32Q'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'CMN', 'Scheduled': {'Date': '2023-03-24', 'Time': '01:35'}, 'Actual': {'Date': '2023-03-24', 'Time': '01:53'}, 'Terminal': {'Gate': 'A10'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'FRA', 'Scheduled': {'Date': '2023-03-24', 'Time': '06:10'}, 'Actual': {'Date': '2023-03-24', 'Time': '06:12'}, 'Terminal': {'Gate': 'Area A'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'LH', 'FlightNumber': '1331'};{'AircraftCode': '32M'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'CUN', 'Scheduled': {'Date': '2023-03-23', 'Time': '23:55'}, 'Actual': {'Date': '2023-03-23', 'Time': '23:36'}, 'Terminal': {'Name': '4'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'ZRH', 'Scheduled': {'Date': '2023-03-24', 'Time': '15:55'}, 'Actual': {'Date': '2023-03-24', 'Time': '15:38'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'WK', 'FlightNumber': '026'};{'AircraftCode': '343'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'DEL', 'Scheduled': {'Date': '2023-03-24', 'Time': '01:50'}, 'Actual': {'Date': '2023-03-24', 'Time': '01:48'}, 'Terminal': {'Name': '3', 'Gate': '019'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'MUC', 'Scheduled': {'Date': '2023-03-24', 'Time': '06:10'}, 'Actual': {'Date': '2023-03-24', 'Time': '05:58'}, 'Terminal': {'Name': '2', 'Gate': 'M13'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'LH', 'FlightNumber': '763'};{'AircraftCode': '35S'};{'Code': 'LD', 'Description': 'Flight Landed'}
