AirportCode;CityCode;CountryCode;LocationType;UtcOffset;TimeZoneId;Latitude;Longitude;AirportName
UBA;UBA;BR;Airport;-03:00;America/Araguaina;-19.765;-47.9647;Uberaba M. De Almeida Franco
UBB;UBB;AU;Airport;+10:00;Australia/Brisbane;-9.9506;142.1956;Mabuiag Island
UBI;UBI;PG;Airport;+11:00;Pacific/Bougainville;-6.7333;155.6833;Buin
UBJ;UBJ;JP;Airport;+09:00;Asia/Tokyo;33.93;131.2786;Ube
UBN;ULN;MN;Airport;+08:00;Asia/Ulaanbaatar;47.6469;106.8197;Ulaanbaatar Chinggis Khaan
UBP;UBP;TH;Airport;+07:00;Asia/Bangkok;15.2514;104.8703;Ubon Ratchathani
UBR;UBR;ID;Airport;+09:00;Asia/Jayapura;-3.6667;140.85;Ubrub
UBS;UBS;US;Airport;-06:00;America/Chicago;33.5;-88.4167;Columbus Lowndes County Apt
UBT;UBT;BR;Airport;-03:00;America/Araguaina;-23.4333;-45.0667;Ubatuba Gastao Madeira
UBU;UBU;AU;Airport;+08:00;Australia/Perth;-14.4167;126.6667;Kalumburu
UBW;UBW;GB;Rail Station;+00:00;Europe/London;51.1278;-2.9903;Bridgwater Rail Station
UCA;UCA;US;Airport;-05:00;America/New_York;43.15;-75.3833;Utica Oneida County
UCB;UCB;CN;Airport;+08:00;Asia/Shanghai;41.13;113.1094;Ulanqab
UCC;DRA;US;Airport;-08:00;America/Los_Angeles;37.0;-116.05;Mercury Yucca Airstrip
UCE;UCE;US;Airport;-06:00;America/Chicago;30.5;-92.4167;Eunice
UCK;UCK;UA;Airport;+02:00;Europe/Zaporozhye;50.75;25.3333;Lutsk
UCN;UCN;LR;Airport;+00:00;Africa/Monrovia;5.9;-10.0833;Buchanan
UCT;UCT;RU;Airport;+03:00;Europe/Moscow;63.5667;53.8044;Ukhta
UCY;UCY;US;Airport;-06:00;America/Chicago;36.4167;-89.05;Union City Everett-Stewart Regional
UCZ;UCZ;PE;Airport;-05:00;America/Lima;-8.4667;-76.4333;Uchiza
UDA;UDA;AU;Airport;+10:00;Australia/Brisbane;-18.1833;144.6;Undara
UDD;PSP;US;Airport;-08:00;America/Los_Angeles;33.7494;-116.2772;Palm Springs Bermuda Dunes Apt
UDE;UDE;NL;Airport;+01:00;Europe/Amsterdam;51.6608;5.7092;Uden Volkel Ab
UDI;UDI;BR;Airport;-03:00;America/Araguaina;-18.8828;-48.2256;Uberlandia
UDJ;UDJ;UA;Airport;+02:00;Europe/Zaporozhye;48.6342;22.2633;Uzhhorod International
UDN;UDN;IT;Airport;+01:00;Europe/Rome;46.0319;13.1867;Udine Campoformido
UDO;UDO;LA;Airport;+07:00;Asia/Vientiane;19.1333;103.8167;Udomxay
UDR;UDR;IN;Airport;+05:30;Asia/Kolkata;24.6178;73.8961;Udaipur
UEE;UEE;AU;Airport;+10:00;Australia/Hobart;-42.0;145.5083;Queenstown
UEL;UEL;MZ;Airport;+02:00;Africa/Maputo;-17.8556;36.8692;Quelimane
UEN;UEN;RU;Airport;+05:00;Asia/Yekaterinburg;65.9667;78.3667;Urengoy
